customer_ext_id,first_name,last_name,email_hash,country
CUST_000001,Stéphanie,Delmas,d99a89ad1cd5429d49ec93c6dd88608c,MR
CUST_000002,Martine,Lefèvre,18bdfa04d2bc75c486573fd4cfb7ad71,GH
CUST_000003,Henri,Rodrigues,12c6adaab2f3608e93fb5183a311f319,SR
CUST_000004,Margot,Laporte,060a13d5fa5f140bba4cc4bbcf9f63f0,AD
CUST_000005,Philippe,Leblanc,4f9999e93792fb7beef2c5ceba2865a9,KI
CUST_000006,Anaïs,Torres,0f4f36c7fdb29399ea2cf03690166ce0,SZ
CUST_000007,Jacques,Étienne,0e3e78eb0b3caa7f9200c06dbc241a68,KH
CUST_000008,Gabriel,Payet,3ba01a207cb27dffc02732cc66e3cd86,SE
CUST_000009,André,Dubois,181ef648f47f30e847402672f48123bb,NI
CUST_000010,Vincent,Perrot,e82ad8733caa7a68362afa5d58b72544,MV
CUST_000011,Lucie,Delannoy,d2a91d0f4352bf52e4f30e67342dff09,SO
CUST_000012,Pénélope,Laine,cb8e614d6fd70f6e56951e842fd09b56,NE
CUST_000013,Hugues,Colas,61216dbbf377571ee69461a682953dde,DZ
CUST_000014,Alphonse,David,64b3f48a12c5dab7246319df91217ae2,SN
CUST_000015,Adélaïde,Turpin,651fdf2f1e596944fdb3bc820193c900,KR
CUST_000016,Véronique,Dumas,dbc83dc90b87cf4c2d29f052e81e52de,CR
CUST_000017,Jeannine,Laine,921f38522cac8f01b7d149302213f643,ES
CUST_000018,Henri,Thomas,82880e79c800f77bb5599a9da3a563c2,SZ
CUST_000019,Claire,Lambert,c384e16f11767b663008dabfd691aa4b,CM
CUST_000020,René,Germain,569791434492edf9edd8d70ec7ae1b21,PE
CUST_000021,Daniel,Hoareau,857ffd11d63b78d4a58bfa1b481c2c36,ZA
CUST_000022,Adrienne,Regnier,0e19ee14a0df665cc9ef94497a98c1ed,NR
CUST_000023,Gabriel,Maury,ff9e079dbecbef549868ea37f4596abb,IR
CUST_000024,Guy,Pinto,bc804292dae7773c469adefe3913f31f,SK
CUST_000025,Christiane,Caron,af9bda1a41d3e3585c6db434c6248748,IN
CUST_000026,Marcelle,Merle,bf3c080028d3a3a2afd136949f656217,MR
CUST_000027,Odette,Paul,05d7d6bd57d90cc2537ce1623068e620,DJ
CUST_000028,Manon,Baron,64ca2ce994560a05a9ee6c9a6c202f26,RW
CUST_000029,Alice,Reynaud,9d5f9d92dce7e369f82a1b038cfede62,KP
CUST_000030,Pierre,Picard,94598778863600b48b1e2ac8b3907970,ER
CUST_000031,Marine,Labbé,303ef4e240c4745d64b5732b7c9d52ff,KH
CUST_000032,Diane,Charles,7ceee95347cfc8d30152f477e1aa1fa4,GE
